optimizer,activation,initializer,loss,final_loss,final_accuracy
SGD,ReLU,Random,CrossEntropy,2.3025355370913108,0.07476666666666666
SGD,ReLU,Random,MSE,0.08999983464356688,0.11556666666666666
SGD,ReLU,Random,MAE,0.1799994671800847,0.09213333333333333
SGD,ReLU,Random,Huber,0.04499978475749378,0.1115
SGD,ReLU,Xavier,CrossEntropy,2.29846762565542,0.09915
SGD,ReLU,Xavier,MSE,0.08990981147199884,0.11568333333333333
SGD,ReLU,Xavier,MAE,0.17978802202569383,0.09911666666666667
SGD,ReLU,Xavier,Huber,0.044964864310354,0.11015
SGD,ReLU,He,CrossEntropy,2.420254351752286,0.15101666666666666
SGD,ReLU,He,MSE,0.09123440633553709,0.09395
SGD,ReLU,He,MAE,0.18001044509046807,0.10498333333333333
SGD,ReLU,He,Huber,0.04682837559286986,0.11058333333333334
SGD,ReLU,LeCun,CrossEntropy,2.321073101544091,0.09538333333333333
SGD,ReLU,LeCun,MSE,0.09025340110124155,0.13166666666666665
SGD,ReLU,LeCun,MAE,0.18014794909651013,0.10346666666666667
SGD,ReLU,LeCun,Huber,0.04503584667673926,0.11476666666666667
SGD,LeakyReLU,Random,CrossEntropy,2.3025907149219615,0.09136666666666667
SGD,LeakyReLU,Random,MSE,0.09000084138921621,0.08626666666666667
SGD,LeakyReLU,Random,MAE,0.1799997844041816,0.12786666666666666
SGD,LeakyReLU,Random,Huber,0.04499946214206034,0.131
SGD,LeakyReLU,Xavier,CrossEntropy,2.3127741713566756,0.09063333333333333
SGD,LeakyReLU,Xavier,MSE,0.09032814259221336,0.09436666666666667
SGD,LeakyReLU,Xavier,MAE,0.17994504863079855,0.10053333333333334
SGD,LeakyReLU,Xavier,Huber,0.045190532335029836,0.07621666666666667
SGD,LeakyReLU,He,CrossEntropy,2.3790776951536903,0.11325
SGD,LeakyReLU,He,MSE,0.09197704421485117,0.08346666666666666
SGD,LeakyReLU,He,MAE,0.17997443691216986,0.0991
SGD,LeakyReLU,He,Huber,0.04584265474361652,0.07073333333333333
SGD,LeakyReLU,LeCun,CrossEntropy,2.305538543202206,0.1033
SGD,LeakyReLU,LeCun,MSE,0.09055163739945722,0.059033333333333333
SGD,LeakyReLU,LeCun,MAE,0.18009430290338965,0.08471666666666666
SGD,LeakyReLU,LeCun,Huber,0.04482566358224766,0.14188333333333333
SGD,PReLU,Random,CrossEntropy,2.302615015302259,0.14488333333333334
SGD,PReLU,Random,MSE,0.08999871176396187,0.12365
SGD,PReLU,Random,MAE,0.1800000270297606,0.10251666666666667
SGD,PReLU,Random,Huber,0.04499992427924334,0.10425
SGD,PReLU,Xavier,CrossEntropy,2.2957571646571,0.12005
SGD,PReLU,Xavier,MSE,0.09032876049150285,0.08661666666666666
SGD,PReLU,Xavier,MAE,0.17933603292910807,0.13623333333333335
SGD,PReLU,Xavier,Huber,0.044913340539085744,0.13931666666666667
SGD,PReLU,He,CrossEntropy,2.339993345685899,0.11935
SGD,PReLU,He,MSE,0.09191993601344083,0.07801666666666666
SGD,PReLU,He,MAE,0.17914194085503538,0.11876666666666667
SGD,PReLU,He,Huber,0.04653483586829588,0.12008333333333333
SGD,PReLU,LeCun,CrossEntropy,2.3113703691890213,0.07953333333333333
SGD,PReLU,LeCun,MSE,0.09035777767266448,0.12173333333333333
SGD,PReLU,LeCun,MAE,0.18009744007710551,0.0786
SGD,PReLU,LeCun,Huber,0.045108443014546716,0.10766666666666666
