optimizer,activation,initializer,loss,final_loss,final_accuracy
AdaGrad,GELU,LeCun,CrossEntropy,1.821639283559028,0.6933166666666667
AdaGrad,PReLU,Xavier,Huber,0.036023337383211194,0.6277
AdaGrad,Tanh,Xavier,CrossEntropy,1.4214323463394383,0.6214833333333334
AdaGrad,GELU,Xavier,Huber,0.03887961738787888,0.6088166666666667
AdaGrad,Swish,LeCun,CrossEntropy,1.8597665132410761,0.5991
AdaGrad,Swish,Xavier,CrossEntropy,1.8681740829424205,0.5976833333333333
RMSProp,PReLU,LeCun,CrossEntropy,2.036141802047569,0.58475
AdaGrad,ELU,LeCun,CrossEntropy,1.52694653506921,0.5839333333333333
AdaGrad,GELU,LeCun,Huber,0.0388269682735463,0.5673833333333334
RMSProp,Tanh,Xavier,Huber,0.03988453164718511,0.56525
